anio,cpi_anual_promedio,nota
1997,160.5,"promedio anual oficial (12 meses), BLS"
1998,163.0,"promedio anual oficial (12 meses), BLS"
1999,166.6,"promedio anual oficial (12 meses), BLS"
2000,172.2,"promedio anual oficial (12 meses), BLS"
2001,177.1,"promedio anual oficial (12 meses), BLS"
2002,179.9,"promedio anual oficial (12 meses), BLS"
2003,184.0,"promedio anual oficial (12 meses), BLS"
2004,188.9,"promedio anual oficial (12 meses), BLS"
2005,195.3,"promedio anual oficial (12 meses), BLS"
2006,201.6,"promedio anual oficial (12 meses), BLS"
2007,207.342,"promedio anual oficial (12 meses), BLS"
2008,215.303,"promedio anual oficial (12 meses), BLS"
2009,214.537,"promedio anual oficial (12 meses), BLS"
2010,218.056,"promedio anual oficial (12 meses), BLS"
2011,224.939,"promedio anual oficial (12 meses), BLS"
2012,229.594,"promedio anual oficial (12 meses), BLS"
2013,232.957,"promedio anual oficial (12 meses), BLS"
2014,236.736,"promedio anual oficial (12 meses), BLS"
2015,237.017,"promedio anual oficial (12 meses), BLS"
2016,240.007,"promedio anual oficial (12 meses), BLS"
2017,245.12,"promedio anual oficial (12 meses), BLS"
2018,251.107,"promedio anual oficial (12 meses), BLS"
2019,255.657,"promedio anual oficial (12 meses), BLS"
2020,258.811,"promedio anual oficial (12 meses), BLS"
2021,270.97,"promedio anual oficial (12 meses), BLS"
2022,292.655,"promedio anual oficial (12 meses), BLS"
2023,304.702,"promedio anual oficial (12 meses), BLS"
2024,313.689,"promedio de 12 meses, oficial"
2025,321.943,promedio de 11 meses (octubre no disponible por cierre de gobierno de EE.UU.)
2026,328.817,promedio parcial ene-abr (unico dato disponible a la fecha de descarga); usado como año base
