Genres,franja_precio,n_juegos,media_pct_positivas,mediana_pct_positivas,media_antiguedad
Action,Q1 (<= 3.25),1021,79.29,82.33,9.47
Action,Q2 (3.25-6.46],1090,82.19,85.46,8.11
Action,Q3 (6.46-12.36],1076,83.41,86.64,6.74
Action,Q4 (> 12.36),1088,81.49,84.38,5.66
Adventure,Q1 (<= 3.25),1001,80.65,82.43,8.5
Adventure,Q2 (3.25-6.46],1053,83.72,86.78,7.29
Adventure,Q3 (6.46-12.36],1046,84.67,87.47,6.19
Adventure,Q4 (> 12.36),930,84.24,87.48,5.07
Casual,Q1 (<= 3.25),855,83.54,86.27,7.67
Casual,Q2 (3.25-6.46],557,85.66,88.8,6.46
Casual,Q3 (6.46-12.36],469,86.41,89.58,5.57
Casual,Q4 (> 12.36),349,85.39,89.28,5.47
Indie,Q1 (<= 3.25),1648,81.6,84.23,8.3
Indie,Q2 (3.25-6.46],1474,84.42,87.3,7.04
Indie,Q3 (6.46-12.36],1334,85.55,88.17,5.88
Indie,Q4 (> 12.36),1105,84.08,87.08,5.65
Massively Multiplayer,Q1 (<= 3.25),51,73.22,76.03,6.45
Massively Multiplayer,Q2 (3.25-6.46],29,74.99,79.02,5.38
Massively Multiplayer,Q3 (6.46-12.36],39,73.52,75.38,5.21
Massively Multiplayer,Q4 (> 12.36),57,71.84,74.83,5.89
RPG,Q1 (<= 3.25),453,80.41,82.47,8.26
RPG,Q2 (3.25-6.46],550,81.83,84.62,7.52
RPG,Q3 (6.46-12.36],654,82.8,84.92,6.09
RPG,Q4 (> 12.36),700,82.19,84.98,5.0
Racing,Q1 (<= 3.25),107,78.63,81.93,9.11
Racing,Q2 (3.25-6.46],86,82.92,85.06,7.72
Racing,Q3 (6.46-12.36],58,80.45,82.28,6.52
Racing,Q4 (> 12.36),87,82.69,86.27,6.29
Simulation,Q1 (<= 3.25),525,79.02,82.35,7.56
Simulation,Q2 (3.25-6.46],538,81.5,84.75,6.28
Simulation,Q3 (6.46-12.36],601,83.0,86.06,5.59
Simulation,Q4 (> 12.36),733,81.09,83.96,5.05
Sports,Q1 (<= 3.25),78,79.19,81.56,7.99
Sports,Q2 (3.25-6.46],63,81.34,83.33,6.75
Sports,Q3 (6.46-12.36],61,81.12,83.06,6.8
Sports,Q4 (> 12.36),127,81.54,84.11,6.29
Strategy,Q1 (<= 3.25),445,78.39,81.56,9.34
Strategy,Q2 (3.25-6.46],530,81.21,83.4,7.66
Strategy,Q3 (6.46-12.36],568,82.15,84.86,6.64
Strategy,Q4 (> 12.36),586,81.3,83.61,5.22
